step time minX maxX minY maxY width height area
127 1.2700 -0.1068 20.1426 -0.3930 14.9936 20.2494 15.3866 311.5684
128 1.2800 -0.1026 20.1372 -0.3904 14.9843 20.2398 15.3747 311.1810
129 1.2900 -0.0983 20.1317 -0.3878 14.9753 20.2300 15.3631 310.7958
130 1.3000 -0.0938 20.1262 -0.3851 14.9667 20.2200 15.3518 310.4134
131 1.3100 -0.0890 20.1206 -0.3825 14.9584 20.2096 15.3409 310.0346
132 1.3200 -0.0841 20.1149 -0.3798 14.9506 20.1990 15.3304 309.6599
133 1.3300 -0.0790 20.1091 -0.3771 14.9432 20.1881 15.3204 309.2899
134 1.3400 -0.0737 20.1033 -0.3744 14.9363 20.1770 15.3108 308.9251
135 1.3500 -0.0682 20.0974 -0.3717 14.9299 20.1656 15.3016 308.5659
136 1.3600 -0.0625 20.0914 -0.3690 14.9240 20.1539 15.2930 308.2126
137 1.3700 -0.0566 20.0853 -0.3662 14.9186 20.1419 15.2848 307.8654
138 1.3800 -0.0505 20.0791 -0.3634 14.9138 20.1296 15.2772 307.5243
139 1.3900 -0.0442 20.0729 -0.3606 14.9094 20.1171 15.2701 307.1894
140 1.4000 -0.0377 20.0666 -0.3578 14.9056 20.1043 15.2634 306.8604
141 1.4100 -0.0310 20.0602 -0.3550 14.9023 20.0912 15.2573 306.5370
142 1.4200 -0.0241 20.0537 -0.3522 14.8994 20.0778 15.2516 306.2191
143 1.4300 -0.0170 20.0472 -0.3493 14.8971 20.0642 15.2464 305.9061
144 1.4400 -0.0097 20.0405 -0.3464 14.8951 20.0503 15.2416 305.5975
145 1.4500 -0.0023 20.0338 -0.3435 14.8936 20.0361 15.2372 305.2930
146 1.4600 0.0054 20.0270 -0.3406 14.8925 20.0216 15.2331 304.9921
147 1.4700 0.0132 20.0201 -0.3377 14.8917 20.0069 15.2295 304.6941
148 1.4800 0.0213 20.0132 -0.3348 14.8913 19.9919 15.2261 304.3986
149 1.4900 0.0295 20.0061 -0.3318 14.8912 19.9766 15.2230 304.1051
150 1.5000 0.0379 19.9990 -0.3288 14.8914 19.9611 15.2203 303.8130
151 1.5100 0.0465 19.9918 -0.3259 14.8919 19.9453 15.2177 303.5220
152 1.5200 0.0553 19.9845 -0.3228 14.8926 19.9292 15.2154 303.2316
153 1.5300 0.0642 19.9771 -0.3198 14.8935 19.9129 15.2133 302.9413
154 1.5400 0.0733 19.9696 -0.3168 14.8946 19.8963 15.2114 302.6508
155 1.5500 0.0826 19.9621 -0.3137 14.8959 19.8795 15.2096 302.3595
156 1.5600 0.0921 19.9545 -0.3107 14.8973 19.8624 15.2080 302.0672
157 1.5700 0.1017 19.9467 -0.3076 14.8989 19.8451 15.2065 301.7735
158 1.5800 0.1115 19.9389 -0.3045 14.9006 19.8275 15.2051 301.4781
159 1.5900 0.1214 19.9310 -0.3013 14.9024 19.8096 15.2037 301.1805
160 1.6000 0.1315 19.9230 -0.2982 14.9043 19.7915 15.2025 300.8806
161 1.6100 0.1417 19.9150 -0.2950 14.9062 19.7732 15.2013 300.5781
162 1.6200 0.1521 19.9068 -0.2919 14.9082 19.7547 15.2001 300.2726
163 1.6300 0.1627 19.8985 -0.2887 14.9102 19.7359 15.1989 299.9639
164 1.6400 0.1733 19.8902 -0.2855 14.9123 19.7169 15.1977 299.6519
165 1.6500 0.1841 19.8817 -0.2822 14.9143 19.6976 15.1966 299.3363
166 1.6600 0.1950 19.8732 -0.2790 14.9164 19.6782 15.1954 299.0169
167 1.6700 0.2061 19.8646 -0.2757 14.9184 19.6585 15.1941 298.6935
168 1.6800 0.2172 19.8559 -0.2725 14.9203 19.6386 15.1928 298.3661
169 1.6900 0.2285 19.8470 -0.2692 14.9223 19.6185 15.1915 298.0344
170 1.7000 0.2399 19.8381 -0.2659 14.9242 19.5982 15.1901 297.6985
171 1.7100 0.2513 19.8291 -0.2626 14.9260 19.5778 15.1886 297.3581
172 1.7200 0.2629 19.8200 -0.2592 14.9278 19.5571 15.1870 297.0132
173 1.7300 0.2746 19.8108 -0.2559 14.9295 19.5362 15.1853 296.6637
174 1.7400 0.2863 19.8014 -0.2525 14.9311 19.5152 15.1836 296.3096
175 1.7500 0.2981 19.7920 -0.2491 14.9326 19.4939 15.1817 295.9509
176 1.7600 0.3100 19.7825 -0.2457 14.9340 19.4725 15.1797 295.5876
177 1.7700 0.3219 19.7729 -0.2423 14.9353 19.4510 15.1776 295.2196
178 1.7800 0.3339 19.7631 -0.2389 14.9366 19.4293 15.1754 294.8470
179 1.7900 0.3459 19.7533 -0.2354 14.9377 19.4074 15.1731 294.4698
180 1.8000 0.3580 19.7434 -0.2319 14.9387 19.3854 15.1706 294.0881
181 1.8100 0.3701 19.7333 -0.2285 14.9396 19.3632 15.1680 293.7021
182 1.8200 0.3821 19.7231 -0.2250 14.9403 19.3410 15.1653 293.3118
183 1.8300 0.3942 19.7128 -0.2214 14.9410 19.3186 15.1624 292.9176
184 1.8400 0.4063 19.7025 -0.2179 14.9415 19.2962 15.1595 292.5196
185 1.8500 0.4183 19.6920 -0.2144 14.9419 19.2737 15.1563 292.1182
186 1.8600 0.4302 19.6813 -0.2108 14.9422 19.2512 15.1530 291.7138
187 1.8700 0.4420 19.6706 -0.2072 14.9424 19.2286 15.1496 291.3068
188 1.8800 0.4536 19.6598 -0.2037 14.9424 19.2062 15.1461 290.8978
189 1.8900 0.4651 19.6488 -0.2000 14.9423 19.1838 15.1424 290.4876
190 1.9000 0.4763 19.6378 -0.1964 14.9421 19.1615 15.1385 290.0768
191 1.9100 0.4872 19.6266 -0.1928 14.9417 19.1394 15.1345 289.6662
192 1.9200 0.4977 19.6153 -0.1891 14.9412 19.1176 15.1304 289.2570
193 1.9300 0.5078 19.6039 -0.1855 14.9406 19.0962 15.1261 288.8499
194 1.9400 0.5174 19.5925 -0.1818 14.9398 19.0751 15.1216 288.4463
195 1.9500 0.5265 19.5809 -0.1781 14.9390 19.0545 15.1170 288.0471
196 1.9600 0.5349 19.5693 -0.1744 14.9379 19.0344 15.1123 287.6535
197 1.9700 0.5426 19.5575 -0.1707 14.9368 19.0149 15.1074 287.2666
198 1.9800 0.5496 19.5458 -0.1669 14.9355 18.9962 15.1024 286.8874
199 1.9900 0.5558 19.5339 -0.1632 14.9340 18.9782 15.0972 286.5167
200 2.0000 0.5611 19.5221 -0.1594 14.9325 18.9609 15.0918 286.1555
201 2.0100 0.5657 19.5129 -0.1556 14.9308 18.9472 15.0864 285.8446
202 2.0200 0.5693 19.5138 -0.1518 14.9289 18.9445 15.0807 285.6960
203 2.0300 0.5722 19.5147 -0.1480 14.9269 18.9425 15.0749 285.5571
204 2.0400 0.5742 19.5156 -0.1442 14.9248 18.9414 15.0690 285.4273
205 2.0500 0.5755 19.5165 -0.1403 14.9226 18.9410 15.0629 285.3058
206 2.0600 0.5761 19.5174 -0.1364 14.9202 18.9413 15.0566 285.1916
207 2.0700 0.5760 19.5182 -0.1326 14.9177 18.9421 15.0502 285.0837
208 2.0800 0.5754 19.5190 -0.1287 14.9150 18.9436 15.0437 284.9809
209 2.0900 0.5742 19.5197 -0.1248 14.9122 18.9455 15.0370 284.8823
210 2.1000 0.5726 19.5203 -0.1209 14.9092 18.9477 15.0301 284.7866
211 2.1100 0.5706 19.5209 -0.1169 14.9062 18.9503 15.0231 284.6929
212 2.1200 0.5683 19.5215 -0.1130 14.9030 18.9532 15.0159 284.6003
213 2.1300 0.5656 19.5219 -0.1090 14.8996 18.9563 15.0086 284.5078
214 2.1400 0.5628 19.5223 -0.1050 14.8961 18.9595 15.0012 284.4147
215 2.1500 0.5597 19.5226 -0.1011 14.8925 18.9629 14.9935 284.3202
216 2.1600 0.5565 19.5228 -0.0970 14.8887 18.9663 14.9858 284.2239
217 2.1700 0.5532 19.5229 -0.0930 14.8848 18.9697 14.9778 284.1251
218 2.1800 0.5498 19.5229 -0.0890 14.8807 18.9732 14.9697 284.0234
219 2.1900 0.5462 19.5228 -0.0849 14.8765 18.9766 14.9615 283.9183
220 2.2000 0.5427 19.5227 -0.0809 14.8722 18.9800 14.9531 283.8097
221 2.2100 0.5391 19.5224 -0.0768 14.8677 18.9833 14.9445 283.6971
222 2.2200 0.5354 19.5220 -0.0727 14.8631 18.9866 14.9358 283.5805
223 2.2300 0.5317 19.5215 -0.0686 14.8584 18.9898 14.9270 283.4595
224 2.2400 0.5281 19.5209 -0.0645 14.8535 18.9928 14.9179 283.3340
225 2.2500 0.5244 19.5202 -0.0603 14.8484 18.9958 14.9088 283.2040
226 2.2600 0.5207 19.5194 -0.0562 14.8432 18.9987 14.8994 283.0694
227 2.2700 0.5170 19.5185 -0.0520 14.8379 19.0015 14.8899 282.9300
228 2.2800 0.5133 19.5174 -0.0478 14.8324 19.0041 14.8802 282.7859
229 2.2900 0.5096 19.5163 -0.0436 14.8268 19.0067 14.8704 282.6369
230 2.3000 0.5060 19.5151 -0.0394 14.8210 19.0091 14.8604 282.4832
231 2.3100 0.5023 19.5137 -0.0352 14.8151 19.0114 14.8503 282.3246
232 2.3200 0.4986 19.5122 -0.0310 14.8090 19.0136 14.8400 282.1612
233 2.3300 0.4950 19.5107 -0.0267 14.8028 19.0157 14.8295 281.9929
234 2.3400 0.4913 19.5090 -0.0224 14.7964 19.0177 14.8189 281.8199
235 2.3500 0.4877 19.5072 -0.0181 14.7899 19.0195 14.8081 281.6420
236 2.3600 0.4840 19.5053 -0.0138 14.7877 19.0213 14.8016 281.5444
237 2.3700 0.4803 19.5033 -0.0095 14.7901 19.0229 14.7996 281.5310
238 2.3800 0.4767 19.5011 -0.0052 14.7923 19.0245 14.7975 281.5147
239 2.3900 0.4730 19.4989 -0.0008 14.7946 19.0259 14.7954 281.4952
240 2.4000 0.4694 19.4966 0.0035 14.7967 19.0272 14.7932 281.4725
241 2.4100 0.4657 19.4941 0.0079 14.7988 19.0284 14.7908 281.4463
242 2.4200 0.4621 19.4916 0.0123 14.8007 19.0295 14.7884 281.4166
243 2.4300 0.4584 19.4889 0.0167 14.8026 19.0305 14.7859 281.3832
244 2.4400 0.4548 19.4862 0.0211 14.8044 19.0314 14.7833 281.3460
245 2.4500 0.4512 19.4833 0.0256 14.8061 19.0321 14.7805 281.3048
246 2.4600 0.4476 19.4803 0.0300 14.8077 19.0327 14.7777 281.2594
247 2.4700 0.4440 19.4772 0.0345 14.8092 19.0332 14.7747 281.2098
248 2.4800 0.4405 19.4740 0.0390 14.8106 19.0335 14.7716 281.1558
249 2.4900 0.4370 19.4707 0.0435 14.8119 19.0337 14.7684 281.0973
250 2.5000 0.4335 19.4673 0.0480 14.8130 19.0338 14.7650 281.0340
251 2.5100 0.4301 19.4637 0.0526 14.8141 19.0337 14.7615 280.9658
252 2.5200 0.4267 19.4601 0.0571 14.8150 19.0334 14.7579 280.8926
253 2.5300 0.4234 19.4563 0.0617 14.8158 19.0330 14.7541 280.8142
254 2.5400 0.4201 19.4525 0.0663 14.8165 19.0323 14.7502 280.7304
255 2.5500 0.4170 19.4485 0.0709 14.8170 19.0315 14.7461 280.6412
256 2.5600 0.4139 19.4444 0.0755 14.8174 19.0305 14.7419 280.5462
257 2.5700 0.4108 19.4402 0.0801 14.8177 19.0293 14.7376 280.4455
258 2.5800 0.4079 19.4358 0.0848 14.8178 19.0279 14.7331 280.3388
259 2.5900 0.4051 19.4313 0.0894 14.8178 19.0262 14.7284 280.2260
260 2.6000 0.4024 19.4267 0.0941 14.8177 19.0244 14.7236 280.1069
261 2.6100 0.3997 19.4220 0.0988 14.8174 19.0223 14.7186 279.9815
262 2.6200 0.3972 19.4172 0.1035 14.8170 19.0199 14.7135 279.8495
263 2.6300 0.3948 19.4122 0.1082 14.8165 19.0173 14.7082 279.7109
264 2.6400 0.3926 19.4094 0.1130 14.8158 19.0168 14.7028 279.5996
265 2.6500 0.3904 19.4092 0.1177 14.8149 19.0187 14.6972 279.5216
266 2.6600 0.3884 19.4089 0.1225 14.8139 19.0205 14.6914 279.4377
267 2.6700 0.3865 19.4086 0.1273 14.8128 19.0220 14.6855 279.3476
268 2.6800 0.3848 19.4082 0.1321 14.8115 19.0234 14.6794 279.2515
269 2.6900 0.3832 19.4077 0.1370 14.8101 19.0245 14.6731 279.1493
270 2.7000 0.3817 19.4072 0.1418 14.8085 19.0254 14.6667 279.0410
271 2.7100 0.3804 19.4066 0.1467 14.8068 19.0262 14.6602 278.9266
272 2.7200 0.3792 19.4059 0.1515 14.8050 19.0267 14.6534 278.8062
273 2.7300 0.3782 19.4052 0.1564 14.8030 19.0270 14.6465 278.6796
